What is your name?,Art Credits,Design Credits,Production Credits,Programming Credits,Sound Credits,Writing Credits,Art Credits,Design Credits,Production Credits,Programming Credits,Sound Credits,Writing Credits
Seren Becker ,,,,,,Assistant Writer ,,,,,,
Sabrina Pan,"Artist, Concept Artist",,,,,,Concept Artist,,,,,
Emily Tse,,,,,,,"Character Concept Artist, Expression Artist, T-shirt Artist",,,,,
Evan Li,,,,Systems Programmer,,,,,,Systems and Gameplay Programmer,,
Anna Schultz,Concept Artist,,,,,,Concept Artist,,,,,
Benjamin Paulsen,,,,,,,,,,Systems and UI Programmer,,
Tyler Knowlton,,,,Races Programmer,,,,,,Programmer,,
Naman Bhushan,,Designer,Producer,,,,,Design Lead,Producer,,,
Ray Nelson,,Designer,,,,,,,,,,
Thomas Noell,,Difficulty Designer,,,,,,,,,,
Parmpreet Gill,,,,,"Sound Lead, Composer",Character Writer,,,,,,Character Writer
Megan Elizabeth Chau,Concept Artist,,,,,,"Concept Artist, UI Artist, Sprite Artist",,,,,
Autumn Moulios,,,Sound Producer,,"Sound Designer, Foley Artist",,,,Sound Producer,,"Composer, Sound Designer, Foley Artist",
Molly Thompson,,,,,,,,,,,,"Writer, Editor"
Joshua Augenstein,,,Programming Producer,"UI Programmer, AI Engineer, Programmer",,,,,Programming Producer,Programmer,,
Johnny Choi,,UI Design,Production Lead,,,Writing Lead,,,,,,
Bailey Dominic Victorio,,,,,,"Writer, Advertiser, ",,Designer,Production lead ,,,"Writer, Scene/Dialogue writer, Advertiser"
Annie Zhang,"Concept Artist, Modeler",,Art Producer,,,,"Prop Artist, Environment Artist, Concept Artist",,Art Producer,,,
Jeremy Hahn,,,,,Composer,,,,,,Sound Designer,
Griffin Conway,"Concept artist, UI",,,,,,"Concept artist, Background artist, Sprite artist",,,,,
Andrew Dunne,3D artist,,,,,,,,,,,
Kiara Yupangco,UI and Concept Artist,,,,Gremlin VA,,UI and Concept Artist,,,,,
Cameron Beattie,Modeler,Design Lead,,Programmer,,,,,,,,
