What is your name?,Art Credits,Design Credits,Production Credits,Programming Credits,Sound Credits,Writing Credits,Art Credits,Design Credits,Production Credits,Programming Credits,Sound Credits,Writing Credits
Seren Becker ,,,,,,Assistant Writer ,,,,,,
Sabrina Pan,"2D Artist, Concept Artist",,,,,,Concept Artist,,,,,
Emily Tse,,,,,,,"Character Concept Artist, Expression Artist, T-shirt Artist",,,,,
Evan Li,,,,Systems Programmer,,,,,,Systems and Gameplay Programmer,,
Anna Schultz,Concept Artist,,,,,,Concept Artist,,,,,
Benjamin Paulsen,,,,,,,,,,Systems and UI Programmer,,
Tyler Knowlton,,,,Races Programmer,,,,,,Programmer,,
Naman Bhushan,,Designer,Producer,,,,,Design Lead,Producer,,,
Ray Nelson,,Designer,,,,,,,,,,
Thomas Noell,,Difficulty Design,,,,,,,,,,
Parmpreet Gill,,,,,"Sound Lead, Composer",Character Writer,,,,,,Character Writer
Megan Elizabeth Chau,Concept Artist,,,,,,"Concept Artist, UI Artist, Sprite Artist",,,,,
Autumn Moulios,,,Sound Producer,,"Sound Designer, Foley Artist",,,,Sound Producer,,"Composer, Sound Designer, Foley Artist",
Molly Thompson,,,,,,,,,,,,"Writer, Editor"
Joshua Augenstein,,,Programming Producer,"UI Programmer, AI Engineer, Programmer",,,,,Programming Producer,Programmer,,
Johnny Choi,,UI Design,Production Lead,,,Writing Lead,,,,,,
Bailey Dominic Victorio,,,,,,"Writer, Advertiser ",,Designer,Production lead ,,,"Writer, Scene/Dialogue writer, Advertiser"
Annie Zhang,"Concept Artist, Modeler",,Art Producer,,,,"Prop Artist, Environment Artist, Concept Artist",,Art Producer,,,
Jeremy Hahn,,,,,Composer,,,,,,Sound Designer,
Griffin Conway,"Concept artist, UI",,,,,,"Concept artist, Background artist, Sprite artist",,,,,
Andrew Dunne,3D artist,,,,,,,,,,,
Kiara Yupangco,UI and Concept Artist,,,,Gremlin VA,,UI and Concept Artist,,,,,
Cameron Beattie,Modeler,Design Lead,,Programmer,,,,,,,,
Chiara Villanueva,,,,,,,Style Guide Artist,,,,,
Thomas Applewhite,,,,Programming Lead,,,,,,Programming Lead,,
Emil Saechao,,,,,,,"Art Department Lead, UI Artist",,Game Lead,,,
Jonathan Liu,,,,,Saxophone Soloist,,,,,,,
Ryoma Marta-Sugawara,,,,,,,,,,,,
Nikolas Sanchez,,,,,,,,,,,,
Megan Penland,,,,,,,,,Game Lead,,,"Writing lead/Writer, Narrative Designer, Dialogue and Flavor Text Writer, Astra and Noelani Shipper"
Rohan Venkatapuram,,,,Programmer,,,,,,Programmer,,
Herman Wu,,,,,,,,,,,,
Ricky Chavez,,,,,,,,,,,,
Jeven Zarate-McCoy,,,,,,,,,,,,
Dallas Truong,,,,,,,,,,,,
Logan Kirkland,,,,,,,,,,,"Sound Lead, Composer",
Caitlin Morgan ,"Concept Artist, Background Concept Artist, Artist",,,,,,"Concept Artist, Background Concept Artist, Environmental Concept Artist, UI Concept Art",,,,,
Jacob Dickerman,,,,"Systems Programmer, Credits Programmer",Gremlin Voice Actor,,,,,Systems and UI Programmer,,
Niklas Thomas,,Level Designer,,,,,,Systems Designer,,Programmer,,
Joseph Wang,,,,,,,Concept Artist,,,,,
Angela Do,,,,,,,"2D Artist, UI Artist",,,,,
Em Coo,"Modeler, Concept Artist",,,,,,,,,,,
Nicole Figg,"3D Artist, Animator",,,,,,,,,,,
Justin Hammer,,,,,,,,,,,,
Eric Long,,,,,,,,,,,,
Madeleine Glenn,,,,,,,,,,,,
Enrico Widodo,,,,,,,,,,,,
Gillian Yu,Modeler,,,,,,"Concept Artist, Sprite Artist",,,,,
Ian Cowan,,,,,,,,Designer,,,,
dninemfive,,,,,,,,,,Programmer,,
Avery Weibel,,,,,,,,,,,,
Edward Garcia,,,,,,,,Designer,,,,
Victor Chung,,,,,,,Concept Artistist,,,,,
Stevie Rodriguez,,,,,,,Concept Artist,,,,,
Zoey Laytart,,,,,Gremlin Voice Actor,,,,,,,
Ixel Camacho,Concept Artist,,,,,,Concept Artist,,,,,
Akash Basu,,,,,,,,,,,,
Angela Yim,,,,,,,,,,,,
Kennedy Thomas,,,,,,,Concept Artist,,,,,
Randy Kim,,,,,,,,"Mechanics Designer, Competitive Tetris Player",,,,
Brian Quintero,,,,,,,,,,,,
Ethan Michaels,,,,,,Narrative design,,,,,,"Writer, Dialogue and flavor text writer, Narrative designer"
David Louis Carroll,Hand modele,,,,Sound effects,,,,,,,
Darius Rudominer,,,,,,,,,,,"Composer, Sound editor",
Sanjita Jain,,,,,,,,,,,Composer and Singer,
Maxim Carbonell-Kiamtia,,,,AI Programmer ,,,,,,,,
Gloria Chim,,,,,,,,,,,,
Holly Cheng,,,,,,,,,,,,
Marcus Williamson,,,,,,,,,,,,
Rayan Hirech,,,,,,,,,,,,
eden h.,,,,,,,,,,,,
Ryan Lee,,,,Programmer,,,,,,,,
ari iramanesh,,,,,,,,,,,,
Brian Zhang,Concept artist,,,,,,,,,,,
Alexander Robert ,,,,,,,,,,,,
Cynthia Chen,Artist,,,,,,,,,,,
Satvik Srinivasan,,,,UI Programmer,,,,,,,,
Wendy Chen,,Designer,Producer,,,,,,,,,
Evan Lake,,,,,,,,,,,,
Sammy Siu,,,,,,,,,,,,
Madeline Karakotsios ,,,,,,,,,,,,
Nicolette Antisdel,,,,,,,Concept Artist for Ocean,,,,,
Madeleine Karakotsios,,,,,,,,,,,,Copy Editor
